song_id,song_name,artists,genres
52112.0,White Washed,August Burns Red,"christian metal,deathcore,melodic metalcore,metalcore,screamo"
12838494.0,最後晚餐,Supper Moment,cantopop
4531.0,耿耿於懷,Juno Mak,"c-pop,cantopop,chinese indie"
11100126.0,Faint,Memphis May Fire,"melodic metalcore,metalcore,post-screamo,screamo"
262493.0,SECOND & SEBRING,Of Mice & Men,"melodic metalcore,metalcore,post-screamo,screamo"
346806.0,The Final Episode (Let's Change Channel),Asking Alexandria,"melodic metalcore,metalcore,trancecore,uk metalcore"
25210.0,Forgive And Forget,Miss May I,"deathcore,melodic deathcore,melodic metalcore,metalcore,post-screamo,screamo"
5181763.0,Hollow Bodies,blessthefall,"melodic metalcore,metalcore,post-screamo,screamo"
54412.0,木紋,Denise Ho,"c-pop,cantopop,chinese indie,hong kong indie"
16149177.0,Say So,Doja Cat,"electropop,la indie,pop"
10131887.0,男人背後,Pakho Chau,"c-pop,cantopop"
13755062.0,SUGAR,BROCKHAMPTON,"boy band,hip hop,pop rap,rap"
17840618.0,Wrong Direction,Hailee Steinfeld,"dance pop,pop,post-teen pop"
14936717.0,Lose Control,"MEDUZA,Becky Hill,Goodboys","house,pop house,tropical house,uk pop,pop house,uk dance"
17871575.0,Mean It,"Lauv,LANY","la pop,pop,dance pop,pop"
17879977.0,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”","Lauv,Anne-Marie","dance pop,pop,post-teen pop,tropical house,uk pop,dance pop,pop"
17900495.0,WINTER FLOWER(Feat.RM),"Younha,RM","k-indie,k-pop,korean pop,k-hop,k-pop"
17890222.0,Feelings,Lauv,"dance pop,pop"
17886970.0,i'm so tired...,"Lauv,Troye Sivan","dance pop,electropop,pop,post-teen pop,viral pop,dance pop,pop"
17833044.0,溫柔 #MaydayBlue20th - feat.孫燕姿,"Mayday,Stefanie Sun","c-pop,mandopop,taiwan pop,c-pop,cantopop,classic mandopop,mandopop,singaporean mandopop,singaporean pop"
10311939.0,真的傻 (電影《一吻定情》追愛版主題曲),LaLa Hsu,"c-pop,chinese indie,mandopop"
17830666.0,造就更好,Joey Yung,"c-pop,cantopop"
476628.0,人非草木,Kary Ng,"c-pop,cantopop"
14202687.0,Trampoline (with ZAYN),"SHAED,ZAYN","dance pop,pop,post-teen pop,uk pop,electropop"
17826653.0,Chills,Why Don't We,"boy band,dance pop,pop,post-teen pop"
12193899.0,你的酒馆对我打了烊,Shirley Chen,mainland chinese pop
12966448.0,在錯誤的宇宙尋找愛,陳健安,
2243987.0,到此為止,Shiga Lin,"c-pop,cantopop"
13293910.0,bad guy (with Justin Bieber),"Billie Eilish,Justin Bieber","canadian pop,dance pop,pop,post-teen pop,electropop,pop"
17956236.0,Lose You To Love Me,Selena Gomez,"dance pop,pop,post-teen pop"
17943346.0,Rare,Selena Gomez,"dance pop,pop,post-teen pop"
17955548.0,You should be sad,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
17955469.0,Life Is Good (feat. Drake),"Future,Drake","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,atl hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap"
17956237.0,Look At Her Now,Selena Gomez,"dance pop,pop,post-teen pop"
17950458.0,Good News,Mac Miller,"hip hop,pittsburgh rap,pop rap,rap"
17954464.0,Dance Again,Selena Gomez,"dance pop,pop,post-teen pop"
17945716.0,Vulnerable,Selena Gomez,"dance pop,pop,post-teen pop"
17945703.0,Eleven,Khalid,pop
17947510.0,Ring,Selena Gomez,"dance pop,pop,post-teen pop"
4551.0,百年不合,Pakho Chau,"c-pop,cantopop"
13215866.0,Gurenge,LiSA,"anime,anime rock,j-pixie,otacore"
17896705.0,小時候的我們,Eric Chou,mandopop
17922449.0,Trampoline (with ZAYN),"SHAED,ZAYN","dance pop,pop,post-teen pop,uk pop,electropop"
18012562.0,Any song,ZICO,"k-hop,k-pop,korean pop,korean r&b"
18022028.0,Dear Me,TAEYEON,k-pop
17471729.0,FML,Arizona Zervas,pop
18048417.0,Black Swan,BTS,"k-pop,k-pop boy group"
18047333.0,You should be sad,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
18049898.0,Good News,Mac Miller,"hip hop,pittsburgh rap,pop rap,rap"
18046207.0,Godzilla (feat. Juice WRLD),"Eminem,Juice WRLD","detroit hip hop,g funk,hip hop,rap,chicago rap,melodic rap,pop"
18046206.0,What A Man Gotta Do,Jonas Brothers,"boy band,dance pop,pop,post-teen pop"
18034601.0,Tattoos Together,Lauv,"dance pop,pop"
18051338.0,Without Me,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
17896091.0,沒身份妒忌,Hubert Wu,cantopop
18051337.0,Graveyard,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
17896090.0,"你喜歡說謊 - 劇集 ""黃金有罪” 片尾曲",HANA,cantopop
18047219.0,Unaccommodating (feat. Young M.A),"Eminem,Young M.A","detroit hip hop,g funk,hip hop,rap,hip hop,lgbtq+ hip hop,nyc rap,pop rap,rap,southern hip hop,trap"
18046861.0,Those Kinda Nights (feat. Ed Sheeran),"Eminem,Ed Sheeran","detroit hip hop,g funk,hip hop,rap,pop,uk pop"
17937989.0,玩具成熟時,Kwan Gor,cantopop
18048263.0,Darkness,Eminem,"detroit hip hop,g funk,hip hop,rap"
18034157.0,Still Learning,Halsey,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
17341596.0,年末感恩,JW,cantopop
14142507.0,野狼Disco,寶石Gem,
4054011.0,男朋友,Louis Koo,cantopop
17682896.0,爸爸的禮物,Jason Chan,"c-pop,cantopop"
10553575.0,bury a friend,Billie Eilish,"electropop,pop"
10552897.0,all the good girls go to hell,Billie Eilish,"electropop,pop"
10554271.0,you should see me in a crown,Billie Eilish,"electropop,pop"
18062116.0,Mean It,"Lauv,LANY","la pop,pop,dance pop,pop"
18062122.0,i'm so tired...,"Lauv,Troye Sivan","dance pop,electropop,pop,post-teen pop,viral pop,dance pop,pop"
18062119.0,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”","Lauv,Anne-Marie","dance pop,pop,post-teen pop,tropical house,uk pop,dance pop,pop"
18062118.0,Feelings,Lauv,"dance pop,pop"
18043879.0,Changes,Lauv,"dance pop,pop"
10201011.0,明明他已離開妳,Hins Cheung,"c-pop,cantopop,mandopop"
3305903.0,安靜,Jay Chou,"c-pop,mandopop,taiwan pop"
779104.0,相依為命,Jordan Chan,
9989583.0,祝君好,Chilam,"c-pop,cantopop,classic cantopop"
18037463.0,me & ur ghost,blackbear,pop
17128009.0,Suicidal,YNW Melly,"melodic rap,trap"
5090584.0,財神到,Sam Hui,"c-pop,cantopop,classic cantopop,vintage chinese pop"
18015687.0,零分,JUDE,
7928589.0,雙驕吐艷慶新春 : 祝福你 / 新年快樂,Twins,"c-pop,cantopop,classic cantopop"
