,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
96,"Chosen (feat. Ty Dolla $ign)",Blxst,1045969,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
97,"911 - Remix",Sech,1043934,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
98,"Off The Grid","Kanye West",1043171,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
99,Perfect,"Ed Sheeran",1011822,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
100,"Before You Go","Lewis Capaldi",1010126,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
101,"SUN GOES DOWN","Lil Nas X",1009948,https://open.spotify.com/track/6btdl1Vl6Ta5lUwUSOFW2H
102,positions,"Ariana Grande",1003773,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
103,Circles,"Post Malone",997946,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
104,"double take",dhruv,995779,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
105,"DEAD RIGHT NOW","Lil Nas X",995746,https://open.spotify.com/track/3grVoZ10bm2jUGpo7BxpuF
106,Believer,"Imagine Dragons",985297,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
107,"Happier Than Ever - Edit","Billie Eilish",984121,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
108,"TALES OF DOMINICA","Lil Nas X",982968,https://open.spotify.com/track/5S4PZ7AuYlYiVIVik3wHUf
109,RAPSTAR,"Polo G",982177,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
110,Loco,"Justin Quiles",966592,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
111,A-O-K,"Tai Verdes",958435,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
112,Arcade,"Duncan Laurence",955540,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
113,"Heartbreak Anniversary",Giveon,950533,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
114,"No Friends In The Industry",Drake,940962,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
115,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",940102,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
116,"Dance Monkey","Tones And I",939535,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
117,telepatía,"Kali Uchis",937440,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
118,Bored,"Billie Eilish",929755,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
119,Heather,"Conan Gray",928737,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
120,Levitating,"Dua Lipa",906013,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
121,"Shape of You","Ed Sheeran",898936,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
122,"Daddy Issues","The Neighbourhood",895971,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
123,"Smells Like Teen Spirit",Nirvana,890711,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
124,"you broke me first","Tate McRae",889392,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
125,"Poblado - Remix","J Balvin",887986,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
126,"You Right","Doja Cat",886787,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
127,"WITHOUT YOU","The Kid LAROI",883442,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
128,"LOST IN THE CITADEL","Lil Nas X",874797,https://open.spotify.com/track/6th8IdY4lYeM0QlSQJhhkp
129,"Arranhão - Ao Vivo","Henrique & Juliano",868822,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
130,"ALMAS GEMELAS","Myke Towers",862888,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
131,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,862781,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
132,brutal,"Olivia Rodrigo",856540,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
133,"Jugaste y Sufrí","Eslabon Armado",853529,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
134,"Talking to the Moon","Bruno Mars",853263,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
135,"Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi",852293,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY
136,Yellow,Coldplay,849975,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
137,Dandelions,"Ruth B.",845298,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
138,"Another Love","Tom Odell",845259,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
139,"Say You Won't Let Go","James Arthur",845070,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
140,Señorita,"Shawn Mendes",844882,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
141,"Bohemian Rhapsody - Remastered 2011",Queen,844466,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
142,Run,OneRepublic,843542,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd
143,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,840927,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
144,"Butter (feat. Megan Thee Stallion)",BTS,840644,https://open.spotify.com/track/3JR0ducCexKbeK47g6AHm5
145,"Head & Heart (feat. MNEK)","Joel Corry",835879,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
146,"AM I DREAMING (feat. Miley Cyrus)","Lil Nas X",835297,https://open.spotify.com/track/6isTQfKXhNO3EyJd9mSxx8
